id,per_square_meter_price
COL_289284,38427.12110679773
COL_289305,60558.18239931648
COL_289318,60799.91374782303
COL_289354,86677.80018266718
COL_289399,61894.98436432594
COL_289428,48065.23018900362
COL_289460,55241.74086598402
COL_289493,57036.8129063325
COL_289495,65824.07822259943
COL_289749,49287.32288081493
COL_289763,165501.7240639478
COL_289778,62575.711260387456
COL_289801,35873.64634065877
COL_289971,38508.069853835885
COL_290143,63530.928193778615
COL_290169,152955.58349997544
COL_290252,27573.60387278974
COL_290336,30022.275417401943
COL_290398,51538.54015122751
COL_290403,56683.007419744
COL_290431,30429.932010047534
COL_290466,56622.15709312506
COL_290486,48981.55785642655
COL_290497,34479.959226292965
COL_290510,64417.75271596524
COL_290559,43274.05089308218
COL_290600,127223.94068395875
COL_290602,129923.53132028198
COL_290716,63123.75663464015
COL_290717,18611.313217430215
COL_290876,43778.26577118184
COL_290966,35893.434896778155
COL_291008,38191.36659991037
COL_291021,233092.30415787763
COL_291043,60794.80449355781
COL_291190,66199.25035131513
COL_291192,54859.70738409912
COL_291274,37791.59384163627
COL_291284,72687.75601971052
COL_291397,36558.630559859186
COL_291450,67106.94054496914
COL_291738,87805.43125894619
COL_291740,23293.26309673465
COL_291825,26223.47625373622
COL_291900,51863.230497312936
COL_292045,58211.544786982326
COL_292135,62196.795566246845
COL_292258,21884.361941602736
COL_292275,23611.135171214526
COL_292279,59462.52812386952
COL_292364,40389.83004771189
COL_292417,34212.767884917135
COL_292421,63324.988749992895
COL_292501,51605.35238204571
COL_292654,101965.1549751189
COL_292906,75576.8537299358
COL_292926,33609.66543683989
COL_293123,56755.462805865165
COL_293135,35056.14335029862
COL_293496,53521.46862322051
COL_293497,45280.34827943536
COL_293588,165060.4225967337
COL_293614,195900.98336769358
COL_293631,77897.469918431
COL_293703,31690.781388709685
COL_293773,35494.05903257785
COL_293780,40824.22430345196
COL_293783,29115.94515802604
COL_293826,34754.30531569067
COL_293889,75149.23755339344
COL_293952,59080.26323729189
COL_293956,41417.3802718182
COL_294068,73289.96090484204
COL_294101,44529.65924229178
COL_294115,40412.995802372156
COL_294143,35920.132191657736
COL_294200,35638.40044798379
COL_294245,17341.275302892238
COL_294261,27442.531142986343
COL_294293,63081.62135440549
COL_294300,50121.33024151584
COL_294350,41117.708880093516
COL_294488,59954.55888368582
COL_294525,67206.91651126431
COL_294553,43734.13761556762
COL_294558,46627.80341840965
COL_294593,43499.69680263795
COL_294691,68225.85271081624
COL_294716,28404.39421583036
COL_294729,49633.99945545335
COL_294785,92871.63903695761
COL_294917,60395.56188464269
COL_294951,20303.675425618967
COL_294975,44255.07151205913
COL_295255,28701.905003032087
COL_295327,14107.067357305168
COL_295509,30538.24620209318
COL_295595,67185.69772756638
COL_296322,45250.95847131682
COL_296509,31818.223628203876
COL_296521,205854.34857186553
COL_296756,32544.26158747835
COL_296901,52369.30687075491
COL_297293,29805.36138282956
COL_297324,40450.10439763621
COL_297326,65965.8164250011
COL_297329,39513.02415392565
COL_297441,40331.36814519901
COL_297472,35137.61540119887
COL_297631,59761.359898597126
COL_297815,89645.21169380881
COL_298020,35686.84250242544
COL_298046,55166.35273961127
COL_298052,44670.5985901803
COL_298055,91692.8070457674
COL_298064,49596.690443214364
COL_298075,71781.16818180762
COL_298099,39055.05645955771
COL_298101,67496.66432442321
COL_298102,50762.932630267496
COL_298103,40483.15655158175
COL_298104,49474.1433594094
COL_298261,56298.290133780494
COL_298459,257998.0662709331
COL_298471,27874.40638031037
COL_298481,75555.96901691903
COL_298516,65328.34927799965
COL_298532,23979.58928734711
COL_298539,46287.903436200526
COL_298593,182896.11827222805
COL_298719,41454.74532689819
COL_298724,27145.74672418638
COL_298733,37506.304267039144
COL_298817,87982.64635590558
COL_298837,50305.87773182979
COL_298968,226807.53566085442
COL_299209,87125.41156265888
COL_299221,266224.67870867765
COL_299361,41753.64957747882
COL_299366,57448.80181613219
COL_299450,83013.26992951115
COL_299454,76916.18574990617
COL_299455,69032.21080451521
COL_299459,77658.59947673255
COL_299464,58111.51467432822
COL_299468,61674.23681840032
COL_299486,52632.55565039096
COL_299491,85868.53255394154
COL_299497,69158.12015400268
COL_299499,37778.395583823236
COL_299501,79721.49931689391
COL_299540,41577.75806742335
COL_299615,57026.86794172959
COL_299659,370457.2919661666
COL_299678,141560.0773458815
COL_299795,25333.323653576343
COL_299818,34017.11329190114
COL_299819,85254.88656201374
COL_299820,103444.11856903073
COL_299960,46922.08116159515
COL_300095,67012.24483287855
COL_300108,146613.08734621282
COL_300125,27880.229647857548
COL_300144,269957.47254050407
COL_300225,51986.81441491148
COL_300305,251969.79464661126
COL_300423,38924.608686491156
COL_300491,36512.16783908018
COL_300562,37465.73911770454
COL_300747,46454.98224115318
COL_300816,65973.41366349929
COL_300942,44660.962968350046
COL_300959,41050.01049078797
COL_300962,51844.561684040396
COL_301220,30039.131862505816
COL_301285,54010.37585904545
COL_301290,62861.98661063608
COL_301303,69289.51871904552
COL_301367,30369.83979537971
COL_301368,33511.42440443235
COL_301378,69961.60812485039
COL_301401,53215.080270837425
COL_301444,23768.59137123757
COL_301445,53484.98973486479
COL_301574,108564.13437859889
COL_301649,36245.10504016995
COL_301669,62166.25954413634
COL_301670,51427.672337130505
COL_301679,44576.87478561184
COL_301709,44537.98341168989
COL_301757,125925.96759055433
COL_301819,24334.30582506302
COL_301820,38099.53234001419
COL_301821,36488.70025001862
COL_301822,38957.7042823469
COL_301823,36874.03311442646
COL_301843,39830.950945001205
COL_301976,67147.57384148023
COL_301986,30916.45836449591
COL_302097,45257.29044052951
COL_302111,75685.25502818117
COL_302139,52003.51741598516
COL_302293,39984.95056713856
COL_302294,27134.191818745967
COL_302428,68576.06334249329
COL_302465,34101.003171442426
COL_302497,78143.05520127121
COL_302548,38735.83698438833
COL_302597,49988.590948344696
COL_302726,45729.78545450799
COL_302745,66691.46586806748
COL_302873,46280.66490848808
COL_302926,49239.40627096962
COL_302986,40190.95636480705
COL_302987,43467.31287705912
COL_302994,69026.30275565392
COL_303002,82359.64906239416
COL_303004,39936.4389003297
COL_303007,34023.84436867009
COL_303069,53020.202151971156
COL_303147,30030.75251374712
COL_303265,50382.95491713384
COL_303285,81724.83654491504
COL_303366,32841.329996874556
